0.000000000000000000e+00	0.000000000000000000e+00	9.999999999999951150e-01
5.000000000000000278e-02	-6.453004081320234953e-02	9.499284788210818897e-01
1.000000000000000056e-01	-1.287323521893707357e-01	8.996902043489197753e-01
1.500000000000000222e-01	-1.925254591878158561e-01	8.492396627342940763e-01
2.000000000000000111e-01	-2.557962757343438254e-01	7.985117962287278104e-01
2.500000000000000000e-01	-3.183775140389512037e-01	7.474057823456179417e-01
3.000000000000000444e-01	-3.799772039876608831e-01	6.957283789192096890e-01
3.500000000000000333e-01	-4.315810159567030624e-01	6.357272833234342002e-01
4.000000000000000222e-01	-4.834694224636291726e-01	5.779453455616824220e-01
4.500000000000000111e-01	-5.237114949122911867e-01	5.112909281046330578e-01
5.000000000000000000e-01	-5.557114480015366009e-01	4.415397943496204847e-01
5.500000000000000444e-01	-6.038547996975789367e-01	3.905921718066520110e-01
6.000000000000000888e-01	-6.496780208288552849e-01	3.392410382763166310e-01
6.500000000000000222e-01	-7.028293599054646901e-01	2.959418520369143657e-01
7.000000000000000666e-01	-7.554001964769612165e-01	2.523221873017036376e-01
7.500000000000000000e-01	-7.925940581495277693e-01	1.944428885969171628e-01
8.000000000000000444e-01	-8.187845445027124303e-01	1.310365607788668285e-01
8.500000000000000888e-01	-8.499999999999999778e-01	8.384815626244127018e-02
9.000000000000000222e-01	-9.000000000000003553e-01	5.589877084162751808e-02
9.500000000000000666e-01	-9.500000000000006217e-01	2.794938542081368618e-02
1.000000000000000000e+00	-1.000000000000000888e+00	0.000000000000000000e+00
